class	property	type	description	accepted_types
LodgingBusiness	petsAllowed	Text	Indicates whether pets are allowed to enter the accommodation or lodging business. More detailed information can be put in a text value.	Text or Boolean or Text or Boolean
LodgingBusiness	petsAllowed	Boolean	Indicates whether pets are allowed to enter the accommodation or lodging business. More detailed information can be put in a text value.	Text or Boolean or Text or Boolean
Accommodation	petsAllowed	Text	Indicates whether pets are allowed to enter the accommodation or lodging business. More detailed information can be put in a text value.	Text or Boolean or Text or Boolean
Accommodation	petsAllowed	Boolean	Indicates whether pets are allowed to enter the accommodation or lodging business. More detailed information can be put in a text value.	Text or Boolean or Text or Boolean
Accommodation	permittedUsage	Text	Indications regarding the permitted usage of the accommodation.	Text
Permit	permitAudience	Audience	The target audience for this permit.	Audience
SoftwareApplication	permissions	Text	Permission(s) required to run the app (for example, a mobile app may require full internet access or may run only on wifi).	Text
DigitalDocumentPermission	permissionType	DigitalDocumentPermissionType	The type of permission granted the person, organization, or audience.	DigitalDocumentPermissionType
Event	performers	Person	The main performer or performers of the event&#x2014;for example, a presenter, musician, or actor.	Person or Organization
Event	performers	Organization	The main performer or performers of the event&#x2014;for example, a presenter, musician, or actor.	Person or Organization
Person	performerIn	Event	Event that this person is a performer or participant in.	Event
Event	performer	Person	A performer at the event&#x2014;for example, a presenter, musician, musical group or actor.	Person or Organization
Event	performer	Organization	A performer at the event&#x2014;for example, a presenter, musician, musical group or actor.	Person or Organization
HowToDirection	performTime	Duration	The length of time it takes to perform instructions or a direction (not including time to prepare the supplies), in [ISO 8601 duration format](http://en.wikipedia.org/wiki/ISO_8601).	Duration or Duration
HowTo	performTime	Duration	The length of time it takes to perform instructions or a direction (not including time to prepare the supplies), in [ISO 8601 duration format](http://en.wikipedia.org/wiki/ISO_8601).	Duration or Duration
Order	paymentUrl	URL	The URL for sending a payment.	URL
Invoice	paymentStatus	Text	The status of payment; whether the invoice has been paid or not.	Text or PaymentStatusType
Invoice	paymentStatus	PaymentStatusType	The status of payment; whether the invoice has been paid or not.	Text or PaymentStatusType
Order	paymentMethodId	Text	An identifier for the method of payment used (e.g. the last 4 digits of the credit card).	Text or Text
Invoice	paymentMethodId	Text	An identifier for the method of payment used (e.g. the last 4 digits of the credit card).	Text or Text
Order	paymentMethod	PaymentMethod	The name of the credit card or other method of payment for the order.	PaymentMethod or PaymentMethod
Invoice	paymentMethod	PaymentMethod	The name of the credit card or other method of payment for the order.	PaymentMethod or PaymentMethod
Order	paymentDueDate	DateTime	The date that payment is due.	DateTime or DateTime
Invoice	paymentDueDate	DateTime	The date that payment is due.	DateTime or DateTime
Order	paymentDue	DateTime	The date that payment is due.	DateTime or DateTime
Invoice	paymentDue	DateTime	The date that payment is due.	DateTime or DateTime
LocalBusiness	paymentAccepted	Text	Cash, Credit Card, Cryptocurrency, Local Exchange Tradings System, etc.	Text
FlightReservation	passengerSequenceNumber	Text	The passenger's sequence number as assigned by the airline.	Text
FlightReservation	passengerPriorityStatus	Text	The priority status assigned to a passenger for security or boarding (e.g. FastTrack or Priority).	Text or QualitativeValue
FlightReservation	passengerPriorityStatus	QualitativeValue	The priority status assigned to a passenger for security or boarding (e.g. FastTrack or Priority).	Text or QualitativeValue
TaxiReservation	partySize	QuantitativeValue	Number of people the reservation should accommodate.	QuantitativeValue or Integer or QuantitativeValue or Integer
TaxiReservation	partySize	Integer	Number of people the reservation should accommodate.	QuantitativeValue or Integer or QuantitativeValue or Integer
FoodEstablishmentReservation	partySize	QuantitativeValue	Number of people the reservation should accommodate.	QuantitativeValue or Integer or QuantitativeValue or Integer
FoodEstablishmentReservation	partySize	Integer	Number of people the reservation should accommodate.	QuantitativeValue or Integer or QuantitativeValue or Integer
Action	participant	Person	Other co-agents that participated in the action indirectly. e.g. John wrote a book with *Steve*.	Person or Organization
Action	participant	Organization	Other co-agents that participated in the action indirectly. e.g. John wrote a book with *Steve*.	Person or Organization
TVSeason	partOfTVSeries	TVSeries	The TV series to which this episode or season belongs.	TVSeries or TVSeries or TVSeries
TVEpisode	partOfTVSeries	TVSeries	The TV series to which this episode or season belongs.	TVSeries or TVSeries or TVSeries
TVClip	partOfTVSeries	TVSeries	The TV series to which this episode or season belongs.	TVSeries or TVSeries or TVSeries
Episode	partOfSeries	CreativeWorkSeries	The series to which this episode or season belongs.	CreativeWorkSeries or CreativeWorkSeries or CreativeWorkSeries
CreativeWorkSeason	partOfSeries	CreativeWorkSeries	The series to which this episode or season belongs.	CreativeWorkSeries or CreativeWorkSeries or CreativeWorkSeries
Clip	partOfSeries	CreativeWorkSeries	The series to which this episode or season belongs.	CreativeWorkSeries or CreativeWorkSeries or CreativeWorkSeries
Episode	partOfSeason	CreativeWorkSeason	The season to which this episode belongs.	CreativeWorkSeason or CreativeWorkSeason
Clip	partOfSeason	CreativeWorkSeason	The season to which this episode belongs.	CreativeWorkSeason or CreativeWorkSeason
ParcelDelivery	partOfOrder	Order	The overall order the items in this delivery were included in.	Order
Order	partOfInvoice	Invoice	The order is being paid as part of the referenced Invoice.	Invoice
Clip	partOfEpisode	Episode	The episode to which this clip belongs.	Episode
Person	parents	Person	A parents of the person.	Person
BroadcastService	parentService	BroadcastService	A broadcast service to which the broadcast service may belong to such as regional variations of a national channel.	BroadcastService
Organization	parentOrganization	Organization	The larger organization that this organization is a [[subOrganization]] of, if any.	Organization
Comment	parentItem	Question	The parent of a question, answer or item in general.	Question
Person	parent	Person	A parent of this person.	Person
PublicationVolume	pagination	Text	"Any description of pages that is not separated into pageStart and pageEnd; for example, ""1-6, 9, 55"" or ""10-12, 46-49""."	Text or Text or Text
PublicationIssue	pagination	Text	"Any description of pages that is not separated into pageStart and pageEnd; for example, ""1-6, 9, 55"" or ""10-12, 46-49""."	Text or Text or Text
